ID,Year,M,D,H,1,2,sum,sump
0131-002,2011,1,10,1,168,137,305,352
0131-002,2011,1,10,2,126,108,234,305
0131-002,2011,1,10,3,91,85,176,234
0131-002,2011,1,10,4,62,65,127,176
0131-002,2011,1,10,5,74,90,164,127
0131-002,2011,1,10,6,107,139,246,164
0131-002,2011,1,10,7,293,278,571,246
0131-002,2011,1,10,8,644,523,1167,571
0131-002,2011,1,10,9,691,711,1402,1167
0131-002,2011,1,10,10,588,620,1208,1402
0131-002,2011,1,10,11,665,703,1368,1208
0131-002,2011,1,10,12,717,754,1471,1368
0131-002,2011,1,10,13,646,702,1348,1471
0131-002,2011,1,10,14,802,838,1640,1348
0131-002,2011,1,10,15,844,897,1741,1640
0131-002,2011,1,10,16,889,906,1795,1741
0131-002,2011,1,10,17,818,900,1718,1795
0131-002,2011,1,10,18,887,1054,1941,1718
0131-002,2011,1,10,19,872,1053,1925,1941
0131-002,2011,1,10,20,678,795,1473,1925
0131-002,2011,1,10,21,604,691,1295,1473
0131-002,2011,1,10,22,569,624,1193,1295
0131-002,2011,1,10,23,413,345,758,1193
0131-002,2011,1,10,24,310,251,561,758
0131-002,2011,1,11,1,222,154,376,561
0131-002,2011,1,11,2,146,122,268,376
0131-002,2011,1,11,3,131,100,231,268
0131-002,2011,1,11,4,90,73,163,231
0131-002,2011,1,11,5,90,98,188,163
0131-002,2011,1,11,6,141,172,313,188
0131-002,2011,1,11,7,250,242,492,313
0131-002,2011,1,11,8,476,398,874,492
0131-002,2011,1,11,9,587,588,1175,874
0131-002,2011,1,11,10,659,691,1350,1175
0131-002,2011,1,11,11,754,793,1547,1350
0131-002,2011,1,11,12,835,944,1779,1547
0131-002,2011,1,11,13,857,992,1849,1779
0131-002,2011,1,11,14,900,1018,1918,1849
0131-002,2011,1,11,15,892,928,1820,1918
0131-002,2011,1,11,16,898,979,1877,1820
0131-002,2011,1,11,17,901,1012,1913,1877
0131-002,2011,1,11,18,827,887,1714,1913
0131-002,2011,1,11,19,742,789,1531,1714
0131-002,2011,1,11,20,646,736,1382,1531
0131-002,2011,1,11,21,567,472,1039,1382
0131-002,2011,1,11,22,477,404,881,1039
0131-002,2011,1,11,23,336,268,604,881
0131-002,2011,1,11,24,254,187,441,604
0131-002,2011,1,12,1,253,217,470,441
0131-002,2011,1,12,2,174,167,341,470
0131-002,2011,1,12,3,150,150,300,341
0131-002,2011,1,12,4,121,129,250,300
0131-002,2011,1,12,5,99,109,208,250
0131-002,2011,1,12,6,104,159,263,208
0131-002,2011,1,12,7,191,212,403,263
0131-002,2011,1,12,8,297,366,663,403
0131-002,2011,1,12,9,421,589,1010,663
0131-002,2011,1,12,10,385,549,934,1010
0131-002,2011,1,12,11,628,872,1500,934
0131-002,2011,1,12,12,878,1321,2199,1500
0131-002,2011,1,12,13,794,1173,1967,2199
0131-002,2011,1,12,14,899,941,1840,1967
0131-002,2011,1,12,15,950,948,1898,1840
0131-002,2011,1,12,16,868,831,1699,1898
0131-002,2011,1,12,17,878,762,1640,1699
0131-002,2011,1,12,18,953,796,1749,1640
0131-002,2011,1,12,19,916,670,1586,1749
0131-002,2011,1,12,20,779,551,1330,1586
0131-002,2011,1,12,21,622,454,1076,1330
0131-002,2011,1,12,22,464,408,872,1076
0131-002,2011,1,12,23,322,279,601,872
0131-002,2011,1,12,24,200,189,389,601
0131-002,2011,1,13,1,117,94,211,389
0131-002,2011,1,13,2,84,80,164,211
0131-002,2011,1,13,3,57,52,109,164
0131-002,2011,1,13,4,60,57,117,109
0131-002,2011,1,13,5,65,81,146,117
0131-002,2011,1,13,6,135,185,320,146
0131-002,2011,1,13,7,372,317,689,320
0131-002,2011,1,13,8,823,633,1456,689
0131-002,2011,1,13,9,925,915,1840,1456
0131-002,2011,1,13,10,740,864,1604,1840
0131-002,2011,1,13,11,701,687,1388,1604
0131-002,2011,1,13,12,674,681,1355,1388
0131-002,2011,1,13,13,651,676,1327,1355
0131-002,2011,1,13,14,732,735,1467,1327
0131-002,2011,1,13,15,808,825,1633,1467
0131-002,2011,1,13,16,803,772,1575,1633
0131-002,2011,1,13,17,784,811,1595,1575
0131-002,2011,1,13,18,865,1033,1898,1595
0131-002,2011,1,13,19,878,1040,1918,1898
0131-002,2011,1,13,20,661,711,1372,1918
0131-002,2011,1,13,21,587,685,1272,1372
0131-002,2011,1,13,22,509,541,1050,1272
0131-002,2011,1,13,23,357,288,645,1050
0131-002,2011,1,13,24,264,209,473,645
0131-002,2011,1,14,1,171,134,305,473
0131-002,2011,1,14,2,120,106,226,305
0131-002,2011,1,14,3,76,68,144,226
0131-002,2011,1,14,4,63,58,121,144
0131-002,2011,1,14,5,74,84,158,121
0131-002,2011,1,14,6,118,144,262,158
0131-002,2011,1,14,7,338,309,647,262
0131-002,2011,1,14,8,859,726,1585,647
0131-002,2011,1,14,9,931,911,1842,1585
0131-002,2011,1,14,10,768,706,1474,1842
0131-002,2011,1,14,11,783,794,1577,1474
0131-002,2011,1,14,12,784,724,1508,1577
0131-002,2011,1,14,13,710,756,1466,1508
0131-002,2011,1,14,14,843,904,1747,1466
0131-002,2011,1,14,15,869,861,1730,1747
0131-002,2011,1,14,16,932,862,1794,1730
0131-002,2011,1,14,17,829,863,1692,1794
0131-002,2011,1,14,18,871,967,1838,1692
0131-002,2011,1,14,19,907,1090,1997,1838
0131-002,2011,1,14,20,646,749,1395,1997
0131-002,2011,1,14,21,627,799,1426,1395
0131-002,2011,1,14,22,530,511,1041,1426
0131-002,2011,1,14,23,380,324,704,1041
0131-002,2011,1,14,24,251,198,449,704
0131-002,2011,1,15,1,192,158,350,449
0131-002,2011,1,15,2,129,97,226,350
0131-002,2011,1,15,3,78,70,148,226
0131-002,2011,1,15,4,72,76,148,148
0131-002,2011,1,15,5,72,85,157,148
0131-002,2011,1,15,6,124,154,278,157
0131-002,2011,1,15,7,303,301,604,278
0131-002,2011,1,15,8,825,653,1478,604
0131-002,2011,1,15,9,964,1006,1970,1478
0131-002,2011,1,15,10,674,720,1394,1970
0131-002,2011,1,15,11,688,704,1392,1394
0131-002,2011,1,15,12,696,676,1372,1392
0131-002,2011,1,15,13,746,740,1486,1372
0131-002,2011,1,15,14,818,852,1670,1486
0131-002,2011,1,15,15,775,800,1575,1670
0131-002,2011,1,15,16,898,921,1819,1575
0131-002,2011,1,15,17,892,933,1825,1819
0131-002,2011,1,15,18,962,1080,2042,1825
0131-002,2011,1,15,19,887,1113,2000,2042
0131-002,2011,1,15,20,733,852,1585,2000
0131-002,2011,1,15,21,561,630,1191,1585
0131-002,2011,1,15,22,501,503,1004,1191
0131-002,2011,1,15,23,397,330,727,1004
0131-002,2011,1,15,24,243,192,435,727
0131-002,2011,1,16,1,135,96,231,435
0131-002,2011,1,16,2,96,67,163,231
0131-002,2011,1,16,3,60,48,108,163
0131-002,2011,1,16,4,55,52,107,108
0131-002,2011,1,16,5,53,50,103,107
0131-002,2011,1,16,6,80,92,172,103
0131-002,2011,1,16,7,211,166,377,172
0131-002,2011,1,16,8,591,415,1006,377
0131-002,2011,1,16,9,612,556,1168,1006
0131-002,2011,1,16,10,468,407,875,1168
0131-002,2011,1,16,11,519,467,986,875
0131-002,2011,1,16,12,471,409,880,986
0131-002,2011,1,16,13,519,469,988,880
0131-002,2011,1,16,14,649,609,1258,988
0131-002,2011,1,16,15,662,597,1259,1258
0131-002,2011,1,16,16,637,574,1211,1259
0131-002,2011,1,16,17,652,613,1265,1211
0131-002,2011,1,16,18,722,701,1423,1265
0131-002,2011,1,16,19,690,773,1463,1423
0131-002,2011,1,16,20,514,537,1051,1463
0131-002,2011,1,16,21,457,467,924,1051
0131-002,2011,1,16,22,389,342,731,924
0131-002,2011,1,16,23,304,202,506,731
0131-002,2011,1,16,24,228,167,395,506
0131-002,2011,1,17,1,194,154,348,395
0131-002,2011,1,17,2,134,118,252,348
0131-002,2011,1,17,3,100,94,194,252
0131-002,2011,1,17,4,72,68,140,194
0131-002,2011,1,17,5,79,98,177,140
0131-002,2011,1,17,6,124,135,259,177
0131-002,2011,1,17,7,327,289,616,259
0131-002,2011,1,17,8,819,618,1437,616
0131-002,2011,1,17,9,671,682,1353,1437
0131-002,2011,1,17,10,721,769,1490,1353
0131-002,2011,1,17,11,573,596,1169,1490
0131-002,2011,1,17,12,637,646,1283,1169
0131-002,2011,1,17,13,634,680,1314,1283
