ID,Year,M,D,H,1,2
0130-001,2011,01,12,04,84,95
0130-001,2011,01,12,05,93,115
0130-001,2011,01,12,06,189,209
0130-001,2011,01,12,07,483,512
0130-001,2011,01,12,08,1025,1181
0130-001,2011,01,12,09,886,711
0130-001,2011,01,12,10,727,659
0130-001,2011,01,12,11,725,774
0130-001,2011,01,12,12,1218,1239
0130-001,2011,01,12,13,1057,1132
0130-001,2011,01,12,14,1146,1303
0130-001,2011,01,12,15,1214,1335
0130-001,2011,01,12,16,1301,1225
0130-001,2011,01,12,17,1159,1024
0130-001,2011,01,12,18,1285,965
0130-001,2011,01,12,19,1432,1187
0130-001,2011,01,12,20,1101,1235
0130-001,2011,01,12,21,860,909
0130-001,2011,01,12,22,808,933
0130-001,2011,01,12,23,608,625
0130-001,2011,01,12,24,386,448
0130-001,2011,01,13,01,306,341
0130-001,2011,01,13,02,235,198
0130-001,2011,01,13,03,175,135
0130-001,2011,01,13,04,141,131
0130-001,2011,01,13,05,134,120
0130-001,2011,01,13,06,196,226
0130-001,2011,01,13,07,478,585
0130-001,2011,01,13,08,1310,1417
0130-001,2011,01,13,09,1638,1624
0130-001,2011,01,13,10,1451,1506
0130-001,2011,01,13,11,1189,1258
0130-001,2011,01,13,12,1168,1309
0130-001,2011,01,13,13,1040,872
0130-001,2011,01,13,14,1213,994
0130-001,2011,01,13,15,1424,1157
0130-001,2011,01,13,16,1390,1014
0130-001,2011,01,13,17,1294,939
0130-001,2011,01,13,18,1400,905
0130-001,2011,01,13,19,1356,1101
0130-001,2011,01,13,20,1086,985
0130-001,2011,01,13,21,955,694
0130-001,2011,01,13,22,866,1004
0130-001,2011,01,13,23,617,683
0130-001,2011,01,13,24,416,445
0130-001,2011,01,14,01,305,323
0130-001,2011,01,14,02,192,218
0130-001,2011,01,14,03,134,144
0130-001,2011,01,14,04,109,124
0130-001,2011,01,14,05,115,149
0130-001,2011,01,14,06,196,218
0130-001,2011,01,14,07,497,574
0130-001,2011,01,14,08,1253,1323
0130-001,2011,01,14,09,1359,1638
0130-001,2011,01,14,10,1155,1284
0130-001,2011,01,14,11,1192,1167
0130-001,2011,01,14,12,1234,1131
0130-001,2011,01,14,13,1143,937
0130-001,2011,01,14,14,1193,1027
0130-001,2011,01,14,15,1388,1231
0130-001,2011,01,14,16,1443,1130
0130-001,2011,01,14,17,1374,1123
0130-001,2011,01,14,18,1489,1166
0130-001,2011,01,14,19,1736,1385
0130-001,2011,01,14,20,1416,1134
0130-001,2011,01,14,21,1154,761
0130-001,2011,01,14,22,962,593
0130-001,2011,01,14,23,702,474
0130-001,2011,01,14,24,464,506
0130-001,2011,01,15,01,336,501
0130-001,2011,01,15,02,203,310
0130-001,2011,01,15,03,175,336
0130-001,2011,01,15,04,133,150
0130-001,2011,01,15,05,132,154
0130-001,2011,01,15,06,207,216
0130-001,2011,01,15,07,417,452
0130-001,2011,01,15,08,892,975
0130-001,2011,01,15,09,1287,1254
0130-001,2011,01,15,10,1279,959
0130-001,2011,01,15,11,1308,1169
0130-001,2011,01,15,12,1412,1250
0130-001,2011,01,15,13,1302,996
0130-001,2011,01,15,14,1438,1266
0130-001,2011,01,15,15,1445,1231
0130-001,2011,01,15,16,1387,1630
0130-001,2011,01,15,17,1499,1034
0130-001,2011,01,15,18,1496,1197
0130-001,2011,01,15,19,1576,1401
0130-001,2011,01,15,20,1207,1054
0130-001,2011,01,15,21,1027,867
0130-001,2011,01,15,22,862,766
0130-001,2011,01,15,23,557,491
0130-001,2011,01,15,24,420,387
0130-001,2011,01,16,01,296,275
0130-001,2011,01,16,02,226,203
0130-001,2011,01,16,03,157,162
0130-001,2011,01,16,04,159,136
0130-001,2011,01,16,05,123,117
0130-001,2011,01,16,06,144,132
0130-001,2011,01,16,07,275,247
0130-001,2011,01,16,08,366,320
0130-001,2011,01,16,09,584,540
0130-001,2011,01,16,10,614,596
0130-001,2011,01,16,11,835,740
0130-001,2011,01,16,12,938,690
0130-001,2011,01,16,13,1120,778
0130-001,2011,01,16,14,1176,825
0130-001,2011,01,16,15,1146,907
0130-001,2011,01,16,16,1206,916
0130-001,2011,01,16,17,1298,1117
0130-001,2011,01,16,18,1257,1036
0130-001,2011,01,16,19,1074,747
0130-001,2011,01,16,20,873,805
0130-001,2011,01,16,21,856,763
0130-001,2011,01,16,22,722,652
0130-001,2011,01,16,23,466,424
0130-001,2011,01,16,24,356,290
0130-001,2011,01,17,01,212,195
0130-001,2011,01,17,02,171,121
0130-001,2011,01,17,03,105,78
0130-001,2011,01,17,04,86,83
0130-001,2011,01,17,05,120,72
0130-001,2011,01,17,06,221,109
0130-001,2011,01,17,07,613,255
0130-001,2011,01,17,08,1504,648
0130-001,2011,01,17,09,1745,830
0130-001,2011,01,17,10,1332,867
0130-001,2011,01,17,11,1400,1789
