Date,Weekday,Time,Traffic
2014-01-12,1 ,1,405
2014-01-12,1 ,2,355
2014-01-12,1 ,3,411
2014-01-12,1 ,4,270
2014-01-12,1 ,5,210
2014-01-12,1 ,6,271
2014-01-12,1 ,7,380
2014-01-12,1 ,8,639
2014-01-12,1 ,9,961
2014-01-12,1 ,10,1227
2014-01-12,1 ,11,1380
2014-01-12,1 ,12,1682
2014-01-12,1 ,13,1831
2014-01-12,1 ,14,1934
2014-01-12,1 ,15,2299
2014-01-12,1 ,16,2349
2014-01-12,1 ,17,2344
2014-01-12,1 ,18,2101
2014-01-12,1 ,19,1575
2014-01-12,1 ,20,1296
2014-01-12,1 ,21,1199
2014-01-12,1 ,22,760
2014-01-12,1 ,23,538
2014-01-13,2 ,0,326
2014-01-13,2 ,1,230
2014-01-13,2 ,2,202
2014-01-13,2 ,3,166
2014-01-13,2 ,4,159
2014-01-13,2 ,5,336
2014-01-13,2 ,6,683
2014-01-13,2 ,7,1416
2014-01-13,2 ,8,1768
2014-01-13,2 ,9,1550
2014-01-13,2 ,10,1664
2014-01-13,2 ,11,1762
2014-01-13,2 ,12,1684
2014-01-13,2 ,13,1876
2014-01-13,2 ,14,2020
2014-01-13,2 ,15,2053
2014-01-13,2 ,16,2050
2014-01-13,2 ,17,2225
2014-01-13,2 ,18,2317
2014-01-13,2 ,19,1751
2014-01-13,2 ,20,1269
2014-01-13,2 ,21,1161
2014-01-13,2 ,22,712
2014-01-13,2 ,23,555
2014-01-14,3 ,0,370
2014-01-14,3 ,1,263
2014-01-14,3 ,2,238
2014-01-14,3 ,3,243
2014-01-14,3 ,4,201
2014-01-14,3 ,5,320
2014-01-14,3 ,6,647
2014-01-14,3 ,7,1367
2014-01-14,3 ,8,1716
2014-01-14,3 ,9,1607
2014-01-14,3 ,10,1739
2014-01-14,3 ,11,1671
2014-01-14,3 ,12,1662
2014-01-14,3 ,13,1874
2014-01-14,3 ,14,2018
2014-01-14,3 ,15,2091
2014-01-14,3 ,16,2115
2014-01-14,3 ,17,2264
2014-01-14,3 ,18,2396
2014-01-14,3 ,19,1838
2014-01-14,3 ,20,1284
2014-01-14,3 ,21,1241
2014-01-14,3 ,22,812
2014-01-14,3 ,23,580
2014-01-15,4 ,0,409
